사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,경의선,184,능곡,2,0,"2,562",457,"6,059","2,713","12,895","2,570","13,228","4,335","7,558","3,132","5,398","2,733","4,984","3,087","4,463","3,291","4,265","3,340","3,815","3,574","3,727","4,024","4,315","5,385","4,697","6,681","4,424","10,747","2,707","9,215","1,907","5,201","1,480","5,254",949,"4,595",307,"2,066",8,784,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,185,곡산,0,0,346,215,755,707,"1,248","1,098","1,137","1,776",774,818,698,535,577,510,615,635,626,538,678,496,866,669,847,678,"1,164",896,"1,726","1,506",612,"1,192",418,630,222,519,166,390,51,172,8,13,1,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,186,백마,8,0,"3,593","1,044","12,568","2,464","28,525","6,349","20,327","10,258","10,439","5,343","7,981","4,469","8,027","3,752","8,135","5,631","6,933","5,363","6,461","5,465","6,667","6,914","7,067","7,313","8,060","9,688","9,406","23,183","3,938","22,582","3,209","11,402","3,003","9,611","3,064","8,553",608,"4,298",0,167,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,187,풍산,12,0,"3,169",341,"8,671","1,562","19,858","3,897","15,859","6,723","9,758","4,815","6,868","4,484","6,493","5,099","6,748","5,682","5,966","6,262","6,068","4,903","6,446","5,744","6,587","7,144","6,975","9,023","7,623","16,912","4,225","13,799","3,736","9,667","3,806","8,171","2,325","6,430",474,"3,573",9,104,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,188,일산,6,0,"6,382",852,"18,672","3,690","37,872","5,874","26,347","10,694","14,764","6,797","10,580","5,763","10,756","7,040","10,810","7,364","9,332","8,449","8,233","8,816","8,555","9,099","9,495","12,160","9,820","15,276","10,244","30,697","5,619","30,869","4,145","13,963","3,504","13,853","3,291","10,592",711,"6,183",10,"1,227",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,189,탄현,76,0,"4,961",486,"17,264","2,553","30,114","5,317","21,542","8,090","11,832","4,844","9,418","4,156","8,926","5,182","8,672","5,535","7,782","5,730","7,342","7,280","7,676","7,355","7,564","8,685","7,716","14,593","9,476","24,537","4,992","27,786","3,952","12,812","3,703","11,963","2,883","7,770",688,"5,498",19,893,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,190,야당,31,0,"3,642",410,"12,015","1,907","21,439","4,107","18,772","7,637","9,655","6,146","7,755","4,609","7,368","6,195","7,699","6,508","7,006","6,973","6,838","7,942","7,358","8,265","8,258","9,467","8,634","14,992","9,668","21,250","6,373","19,946","5,772","10,214","6,726","9,105","4,975","6,433",986,"4,483",58,714,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,191,운정,44,1,"3,719",494,"13,353","4,078","24,675","6,550","21,293","9,181","10,415","4,657","8,164","3,850","7,272","4,654","7,401","4,918","6,866","4,786","5,870","6,170","6,469","6,506","7,529","8,387","8,522","12,525","9,337","19,978","4,305","19,150","3,061","10,145","2,596","9,118","1,774","7,367",400,"3,672",22,542,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,192,금릉,134,0,"2,395",302,"7,770","2,077","14,782","4,529","11,292","9,396","6,912","4,565","5,906","3,697","6,037","3,605","5,864","4,367","5,378","4,034","5,109","5,093","5,202","5,585","5,936","6,045","7,471","9,138","8,704","12,251","4,066","12,198","3,308","6,309","2,638","5,932","2,086","5,386",283,"2,922",13,512,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,193,금촌,121,1,"3,174",313,"8,026","3,877","16,567","8,883","13,780","14,121","9,649","7,796","8,368","6,457","9,120","5,270","8,988","7,751","8,720","7,816","7,801","6,951","8,349","8,860","8,723","9,219","11,200","12,033","13,738","15,149","6,501","12,795","5,117","8,443","3,801","8,477","2,160","6,591",401,"3,302",36,492,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,194,월롱,27,0,323,9,855,"3,662","1,967","9,141","1,990","9,539","1,731","2,534","1,719","1,837","2,185","1,380","2,274","2,176","2,617","1,691","2,387","1,523","2,879","1,645","3,927","1,851","7,638","2,296","10,502","2,425","3,656","2,332","2,570","2,311","1,998","2,447",574,"2,049",40,"1,219",5,195,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,195,파주,113,0,647,31,"1,199","1,036","2,172","2,466","2,327","2,567","1,484",897,"1,372",982,"1,338",854,"1,328",882,"1,352",907,"1,364",799,"1,523","1,034","1,851","1,064","3,460","1,040","3,123","1,204","1,064","1,385",623,"1,045",684,843,195,666,24,403,0,86,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,196,문산,923,1,"2,801",5,"6,979","2,594","13,776","6,782","10,984","12,076","7,970","4,656","7,114","5,829","7,162","5,922","7,483","7,337","7,940","7,026","7,652","6,715","7,783","8,298","7,946","7,615","9,854","8,711","10,433","10,736","4,302","10,114","3,521","8,062","2,453","5,402","1,479","5,606",58,"3,030",0,826,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,197,임진강,0,0,0,0,0,0,0,0,0,0,21,99,135,319,3,4,0,0,2,2,5,2,128,159,161,32,457,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,198,서울역,3,0,862,5,"1,159","5,823","2,400","18,627","2,007","27,463","1,784","12,900","1,251","5,189","1,606","3,998","2,290","3,100","2,643","5,193","2,866","2,403","4,126","2,486","6,001","2,206","12,865","3,694","25,477","3,752","8,736","2,672","4,345","2,531","4,855",845,780,103,694,811,0,50,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,199,공덕,13,0,659,143,"1,710","1,777","3,499","5,842","4,635","15,640","3,085","7,252","2,684","2,750","3,065","2,927","3,408","2,727","3,663","2,632","3,603","2,809","3,712","2,721","4,790","3,063","8,209","3,994","15,167","5,717","5,723","3,749","4,491","2,206","4,437","2,357","2,382","1,620",458,764,5,79,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,200,홍대입구,2,1,232,129,586,553,"1,034","1,814","1,327","5,018","1,081","3,316",900,"2,540",998,"2,427","1,295","3,255","1,437","3,623","1,898","3,286","2,039","2,954","2,698","3,366","4,348","3,339","5,969","4,000","3,713","2,789","3,402","1,260","4,409","1,448","3,815","1,048",703,480,13,53,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,201,디지털미디어시티,4,0,741,380,"2,249","2,032","7,587","1,808","7,766","3,552","3,851","2,135","2,784","1,693","2,816","1,600","2,921","1,792","2,656","2,252","2,631","1,958","2,665","2,252","3,420","2,835","4,481","4,321","4,164","8,037","2,339","6,437","1,618","3,499","1,376","2,939",959,"2,803",334,"1,126",11,100,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,203,계양,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경의선,204,검암,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,205,신내,17,1,711,818,"1,959","2,398","4,493","3,619","3,991","5,186","2,391","1,503","2,062","1,500","1,829","1,323","1,969","1,315","1,821","1,750","1,867","1,450","2,306","1,994","3,043","1,966","3,535","2,909","4,129","3,830","1,715","3,010",938,"1,534",688,"1,370",617,"1,069",199,504,0,90,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,206,갈매,7,0,"1,489",538,"3,557","1,697","14,998","2,698","8,597","4,103","5,591","2,476","3,328","2,421","2,603","1,970","3,320","2,125","2,461","2,567","2,932","2,128","2,592","3,218","3,294","3,257","3,084","4,637","3,912","9,667","2,074","7,344","1,847","4,270","2,314","3,325","1,328","2,260",346,876,6,317,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,207,별내,44,0,"1,179","1,011","3,101","2,739","11,164","3,946","8,544","5,788","5,171","3,692","3,605","2,786","3,143","2,856","3,417","2,962","3,013","3,382","3,182","2,633","3,632","3,642","4,804","3,972","5,071","5,818","5,850","8,868","2,859","7,903","2,285","4,161","2,383","2,636","1,909","2,829",547,899,11,190,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,208,퇴계원,44,0,"2,632",737,"5,228","1,603","16,736","3,848","11,243","4,315","7,437","2,374","4,926","2,606","4,158","2,567","4,656","3,037","4,038","3,022","3,264","3,176","3,687","3,541","3,158","4,966","3,977","8,238","5,152","11,033","2,436","10,544","1,674","5,958","1,446","3,947",949,"4,744",267,"1,400",14,373,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,209,사릉,49,0,"2,561",918,"5,316","2,215","14,129","5,280","10,293","5,933","5,808","2,307","3,879","2,337","3,482","2,408","3,490","2,403","3,271","2,127","2,571","2,865","2,981","2,759","2,905","3,603","4,468","6,465","6,134","8,577","2,222","11,895","1,432","5,253","1,307","3,639",661,"3,436",182,"1,458",9,293,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,210,금곡,23,1,"1,520",258,"2,193","1,055","4,346","1,741","4,081","4,034","2,767","1,739","2,137","1,508","2,265","1,133","1,912","1,515","1,955","1,190","1,576","1,815","1,790","1,619","1,760","1,823","2,134","2,891","3,075","3,613","1,108","3,783",771,"1,553",627,"1,607",411,"1,393",111,721,7,85,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,211,평내호평,745,2,"5,134",765,"10,324","1,760","24,834","4,410","16,395","9,157","9,638","6,021","8,227","5,164","7,740","4,946","7,476","6,501","6,813","5,920","5,817","7,124","6,255","6,588","6,756","7,538","6,796","13,407","7,957","16,926","4,902","20,654","3,985","8,990","3,641","7,468","3,078","6,731",821,"3,384",18,"1,137",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,212,천마산,28,4,"1,040",334,"3,589",622,"6,876","1,741","4,996","1,915","4,131","1,449","3,035","1,405","2,196","1,878","2,181","1,890","1,966","1,642","1,842","2,007","1,538","2,366","1,888","2,347","1,837","3,168","2,260","5,360",987,"4,097",664,"3,040",537,"2,353",381,"1,692",82,877,0,33,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,213,마석,21,1,"1,395",442,"6,770","2,421","12,699","5,829","9,352","6,892","7,010","5,295","5,844","3,654","5,369","4,505","5,719","3,929","4,767","5,208","4,620","4,536","4,444","5,282","5,457","4,884","5,875","7,155","6,863","8,186","3,129","12,084","2,742","5,816","2,112","4,708","1,512","3,811",431,"1,630",4,166,0,0,0,0,1,1,2021-09-03 10:03
Aug-21,경춘선,214,대성리,2,0,219,91,344,343,878,"1,085",872,"1,216",852,728,797,"1,125","1,044","1,150",930,898,962,957,"1,059",936,"1,192",798,"1,279",795,"1,708",733,"1,410",752,812,635,400,486,241,309,166,315,38,189,0,1,2,2,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,215,청평,18,0,884,192,"1,894",916,"3,348","1,646","3,472","3,531","2,954","2,346","3,028","2,868","3,724","2,202","3,167","3,270","2,684","2,336","2,784","2,733","2,899","2,871","3,341","2,750","3,416","3,446","3,058","3,269","1,653","2,970","1,088","2,200",702,"1,605",336,"1,153",79,891,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,216,상천,0,0,96,65,312,244,587,290,614,687,476,744,449,830,545,812,499,615,499,397,716,398,815,416,933,359,905,433,648,383,273,460,150,212,75,148,29,85,11,53,3,8,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,217,가평,0,0,704,219,"1,286","1,236","2,378","2,789","2,958","5,665","2,422","5,616","3,029","4,420","6,275","5,724","3,808","4,466","3,084","4,802","3,492","3,921","3,471","3,336","4,946","2,412","5,761","2,753","6,234","2,448","3,543","2,569","2,093","1,697","1,239","1,410",469,"1,030",194,759,0,42,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,218,굴봉산,0,0,66,10,43,139,138,287,284,400,231,314,297,612,480,491,351,329,363,233,457,316,482,338,509,188,517,168,335,180,161,139,139,119,71,55,11,68,1,30,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,219,백양리,0,0,9,54,25,277,63,398,151,249,100,151,309,416,728,315,269,253,272,241,369,336,410,248,374,172,353,102,303,96,119,45,85,44,68,47,48,34,13,17,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,220,강촌,3,0,96,15,182,275,381,414,495,"1,604",512,"1,354",831,"1,979","2,637","2,017","1,494","1,383","1,154","1,419","1,453","1,665","1,559","1,046","1,685",969,"1,755",693,"1,263",667,880,520,564,326,494,263,143,220,44,142,5,7,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,221,김유정,2,0,107,48,165,109,343,470,360,631,277,697,296,"1,090",452,"1,246",682,"1,343",839,"1,040","1,036",821,"1,188",761,"1,219",533,"1,202",555,837,509,507,373,277,240,163,158,55,101,20,53,0,12,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,222,남춘천,510,8,"1,327",16,"3,245",699,"3,147","2,057","3,962","3,230","3,403","3,252","3,644","2,819","3,652","6,228","4,305","7,336","4,744","4,807","5,817","4,201","5,263","4,686","4,757","3,784","4,559","4,307","3,626","4,311","2,948","7,081","2,608","2,801","2,202","2,137","1,313","2,629",222,"1,279",2,631,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경춘선,223,춘천,286,0,481,6,"1,461",340,"1,120","1,002","1,475","2,158","1,803","2,610","1,786","1,943","2,062","4,194","2,418","3,160","2,863","3,812","3,805","2,451","4,692","3,268","4,396","2,017","3,922","1,897","3,225","1,621","2,039","2,512","1,552",866,965,932,475,854,30,688,0,218,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,340,고색,358,1,"2,025",542,"4,868","1,895","10,190","11,523","8,583","15,195","4,621","2,421","3,222","1,830","3,413","2,296","3,464","2,424","3,174","2,487","3,083","2,661","3,244","2,604","3,906","3,835","8,682","5,167","14,149","7,505","4,300","7,913","3,945","5,151","2,819","4,127","1,162","3,320",308,"1,550",3,688,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,341,오목천,4,0,463,9,"3,335","1,626","6,491","2,918","6,348","4,919","4,112","1,866","3,254","1,885","3,190","1,869","3,446","2,071","2,941","2,614","2,638","2,039","2,842","2,778","3,775","3,839","4,731","3,872","5,119","7,989","2,166","4,956","1,386","2,731","1,184","2,827",763,"3,474",360,"1,406",1,120,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,342,어천,2,0,195,20,619,908,"1,088","1,688","1,062","1,461","1,015",874,979,751,"1,059",706,"1,102",730,"1,071",966,920,892,"1,046",814,"1,268","1,208","1,564","1,170","2,526","1,961",996,"1,244",657,739,352,728,191,860,85,325,0,29,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,343,야목,0,0,147,0,288,306,717,562,591,485,441,212,364,254,390,219,333,238,345,248,320,213,331,280,434,360,591,386,600,592,279,416,219,213,121,313,97,204,31,93,0,15,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,344,사리,2,0,"2,511",115,"7,882","1,144","16,492","2,008","13,738","3,310","7,357","1,991","5,362","2,234","4,843","2,137","4,966","2,788","5,496","3,138","4,135","3,192","3,878","4,029","4,415","5,537","4,418","6,937","4,493","15,411","2,800","10,799","1,809","6,694","1,416","7,037","1,452","5,621",421,"3,127",17,331,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,345,달월,0,0,16,79,31,119,128,108,142,308,36,79,45,66,80,73,81,78,76,83,72,69,126,62,174,76,274,55,736,121,147,54,54,56,36,43,22,30,5,15,1,3,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,346,월곶,8,0,"1,346",338,"3,955","1,811","8,346","2,114","6,868","2,832","3,980","2,300","2,922","2,121","3,165","2,552","3,038","3,048","3,149","2,891","2,996","2,807","3,118","3,293","3,408","3,652","3,584","5,205","3,655","7,741","2,488","5,027","1,930","3,402","1,815","3,544","1,303","2,854",495,"1,106",3,117,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,347,소래포구,6,0,"2,251",461,"4,825","2,008","12,591","3,248","10,022","6,339","5,308","5,812","4,812","6,106","6,312","9,965","7,048","12,641","8,886","10,383","10,823","9,794","11,589","8,617","11,305","8,549","10,674","8,499","8,850","11,509","5,609","7,987","3,892","5,211","3,665","4,957","2,476","3,899",846,"1,992",8,183,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,348,인천논현,4,0,"2,207",657,"5,240","4,464","11,862","7,917","10,875","11,691","6,151","7,769","5,734","6,236","6,281","6,521","6,594","6,663","6,471","7,202","6,718","7,351","7,499","7,309","7,705","8,803","10,572","10,716","11,522","15,331","6,798","9,628","5,974","6,218","6,363","5,359","3,797","3,833",941,"2,020",1,220,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,349,호구포,4,0,"1,596",936,"2,868","5,046","5,823","16,265","6,266","19,533","3,895","3,676","3,280","2,568","3,823","2,892","3,793","2,977","3,796","3,042","3,921","3,295","4,534","3,212","5,205","3,820","11,898","4,834","14,206","6,498","4,291","5,531","5,101","3,683","3,649","2,792","1,459","2,390",506,"1,347",0,161,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,350,남동인더스파크,0,0,468,723,769,"3,320","1,152","13,495","1,731","18,054","1,355","2,985","1,523","1,441","1,836","1,469","1,627","1,678","1,666","1,323","2,191","1,243","2,676","1,233","3,029","1,135","10,331","1,273","10,919","1,428","3,805","1,907","3,201","1,209","1,714",662,450,497,162,206,0,14,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,351,원인재,24,4,"2,775",750,"6,075","2,214","11,808","4,335","12,457","6,373","7,266","4,385","6,092","4,306","6,150","4,398","5,808","4,804","5,746","4,863","5,172","4,959","5,165","6,161","5,443","7,373","6,194","9,404","6,130","13,997","3,993","9,731","3,135","6,719","3,286","6,772","2,090","5,520",690,"2,741",2,229,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,352,연수,10,1,"2,506",855,"6,020","2,048","12,530","3,676","10,244","8,506","5,233","4,812","4,898","4,168","5,125","4,025","5,414","5,343","5,537","5,142","5,411","4,984","5,396","5,549","5,655","6,833","6,558","9,273","7,511","12,688","4,396","8,188","3,887","5,822","4,252","5,519","2,891","3,667",907,"2,125",10,407,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,353,송도,12,0,"1,790",331,"3,944","1,169","7,831","1,946","7,133","3,192","3,467","2,099","3,062","2,319","3,236","2,272","3,796","2,652","3,453","2,408","2,796","2,501","3,150","3,299","2,988","3,859","3,150","5,023","3,144","7,391","1,952","4,757","1,269","2,790",990,"2,913",720,"2,344",252,"1,113",4,185,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,354,인하대,29,0,"2,837",402,"8,536","2,256","18,842","3,631","14,209","8,288","6,897","5,185","5,796","4,422","6,225","4,227","6,891","5,499","6,142","5,076","5,887","5,486","6,665","6,423","8,261","7,432","8,010","12,267","7,691","18,446","4,516","10,595","3,836","7,652","3,769","6,978","2,789","4,953",890,"2,631",17,495,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,355,숭의,10,0,"3,085","1,005","5,318","2,818","10,823","7,077","8,693","9,573","5,204","3,885","4,605","3,582","4,532","3,039","4,665","3,768","4,402","4,404","4,600","3,726","5,236","3,656","5,778","4,984","7,918","6,549","7,923","8,812","3,227","5,545","2,139","4,002","1,778","4,573","1,376","2,812",515,"1,219",4,241,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,356,신포,5,0,"1,116",302,"1,364",979,"2,815","3,230","2,409","6,723","1,676","2,334","1,427","2,216","1,662","2,373","1,927","2,482","2,254","2,472","2,463","2,197","2,956","2,349","3,470","2,759","3,940","2,733","6,055","3,272","2,354","1,911","1,715","1,133","1,491","1,293",715,"1,011",160,336,2,81,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,수인선,357,인천,66,2,642,148,773,"1,070","1,904","2,445","1,513","3,357","1,188","1,519","1,337","1,954","1,558","3,498","1,879","3,797","1,952","3,503","2,235","4,080","2,500","4,762","3,329","3,698","3,394","2,908","2,296","3,581","1,608","2,510","1,373","1,773","1,245","1,604",694,"1,389",135,670,1,99,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,238,판교,31,0,807,13,"1,800","5,505","3,624","9,937","2,787","20,897","1,905","14,746","1,910","6,333","2,569","5,877","2,950","4,553","3,254","3,980","4,143","3,701","6,082","3,251","6,710","3,420","11,723","4,577","17,860","4,086","12,495","3,076","10,737","1,479","7,162","1,315","2,852",828,679,396,0,220,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,239,이매,5,1,684,29,"1,402",805,"3,522","1,394","2,701","2,334","1,314","1,526","1,039",781,"1,075",828,"1,109",856,"1,111","1,011","1,081",904,"1,304","1,005","1,304","1,204","1,844","2,025","1,997","2,466","1,071","2,151",901,"1,035","1,077",876,902,502,237,207,0,115,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,240,삼동,0,0,"1,146",193,"3,658","1,086","9,079","2,127","10,801","1,977","5,375",978,"3,184","1,026","2,620","1,353","2,196","1,394","2,069","1,452","1,762","1,993","1,609","2,238","1,778","3,394","2,790","4,736","2,529","7,765","1,059","6,779",784,"3,905",608,"3,820",281,"2,354",87,647,3,20,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,241,경기광주,0,0,"2,076",247,"11,478","2,117","29,886","4,226","28,963","7,587","14,642","3,929","9,419","3,648","8,625","4,045","8,421","4,775","7,456","5,829","6,439","6,106","5,874","7,280","6,705","9,754","8,220","14,134","6,839","27,281","3,845","24,096","2,601","12,849","2,074","11,153","1,187","7,122",291,"3,127",0,16,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,242,초월,4,4,"1,130",106,"4,497","1,230","10,775","3,508","11,560","4,176","5,981","1,582","3,667","1,537","3,446","1,816","3,403","1,887","3,028","2,210","2,741","2,324","2,627","2,868","3,370","3,875","4,294","4,859","4,287","10,342","1,819","7,818","1,299","6,509",941,"4,261",452,"4,069",170,"1,923",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,243,곤지암,2,0,675,181,"1,786","1,657","5,636","4,927","5,433","4,420","3,411","2,148","2,487","1,847","2,537","2,031","2,599","2,439","2,522","2,174","2,484","2,194","2,688","2,432","3,012","3,118","4,924","3,887","5,497","4,710","2,203","4,952","1,392","2,817",856,"3,074",354,"1,912",157,"1,076",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,244,신둔도예촌,0,0,561,127,"1,845",540,"4,643","1,645","3,516","2,747","2,182","1,220","1,787",911,"1,522","1,074","1,672","1,328","1,496","1,112","1,262","1,134","1,310","1,424","1,657","1,670","2,926","2,489","2,591","3,256","1,167","3,641",870,"2,197",694,"1,986",184,"1,329",91,743,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,245,이천,6,0,573,25,"2,252","1,223","6,262","4,749","5,026","6,088","4,015","3,736","3,628","2,555","3,596","3,148","3,429","3,212","3,265","3,511","3,014","3,176","3,255","3,539","4,386","3,637","4,795","4,657","6,269","6,653","3,327","5,366","2,507","4,200","2,045","2,557",859,"2,910",249,"1,084",1,210,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,246,부발,2,0,634,19,"2,134","1,183","4,003","4,629","3,550","3,944","2,920","1,796","2,515","1,455","2,571","1,756","2,667","1,744","2,470","1,959","2,480","1,794","2,691","1,911","3,026","2,383","4,765","3,129","4,731","3,531","2,207","4,148","1,745","3,240",941,"2,652",430,"2,413",169,"1,625",3,570,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,247,세종대왕릉,0,0,262,11,489,88,694,594,727,604,511,468,465,354,392,467,418,440,444,304,508,491,472,449,534,482,613,549,659,700,296,732,164,338,70,365,26,143,13,156,1,33,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경강선,248,여주,24,0,908,9,"2,643",664,"4,238","2,730","4,091","2,365","2,811","2,585","3,214","2,264","2,979","2,825","3,118","3,501","3,245","3,016","3,433","2,921","3,751","2,906","4,032","3,951","3,916","3,678","2,955","4,115","2,504","5,464","1,758","3,610","1,035","1,950",515,"2,032",110,"1,498",0,523,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,5호선,385,방화,4,0,"4,388",3,"9,415","3,283","23,476","4,941","20,653","11,414","12,068","6,435","8,963","5,348","8,544","5,759","9,693","7,194","9,263","6,830","7,698","6,915","8,039","8,195","9,117","9,522","8,468","11,248","8,872","19,305","4,215","17,567","3,112","10,286","2,331","8,871","1,575","7,569",351,"3,281",0,383,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,5호선,386,개화산,3,0,"3,646",363,"6,738","3,077","18,542","5,294","16,616","10,196","9,008","5,305","6,674","4,516","6,508","4,499","6,664","5,354","6,636","5,166","5,947","5,651","5,826","6,469","6,143","7,023","7,838","8,840","9,463","14,518","4,424","13,489","2,798","7,712","2,304","7,261","1,754","6,301",360,"2,581",0,331,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,5호선,387,김포공항,2,0,339,"1,683","1,657","7,914","4,503","12,913","6,511","15,564","7,294","10,849","6,518","10,484","9,548","12,302","10,169","12,922","11,686","14,895","12,968","14,834","15,130","13,653","14,036","12,382","18,273","13,557","23,884","13,246","15,767","7,795","14,225","3,719","13,895","1,616","8,167","1,027","1,813",426,6,37,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,5호선,388,송정,42,0,"3,458","1,016","7,550","4,122","17,837","6,524","18,824","11,566","11,721","6,701","9,214","5,940","8,481","6,343","8,473","7,227","8,211","7,140","7,627","7,317","8,222","8,170","8,446","9,902","11,032","11,538","11,412","16,657","6,022","13,543","4,248","8,536","3,721","7,858","2,549","6,847",698,"2,931",4,233,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,5호선,389,마곡,7,2,"2,033","1,487","6,131","5,258","19,877","10,225","19,631","38,479","10,585","25,725","8,955","11,550","9,174","9,221","9,432","9,896","9,820","10,084","10,784","9,764","12,320","9,031","14,655","10,929","22,933","12,453","34,634","20,399","13,564","16,211","8,894","8,521","7,913","7,469","5,210","6,363","1,089","2,746",6,244,0,0,0,0,0,0,2021-09-03 10:03
