사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,2호선,24,강변(동서울터미널),21,1,"7,462","1,767","23,222","17,932","65,321","21,845","87,254","40,468","61,572","33,872","44,119","31,623","42,222","29,221","40,107","32,254","38,230","34,966","35,838","37,067","37,419","41,878","39,031","47,934","43,071","63,050","49,073","95,448","35,502","64,418","27,719","39,851","24,136","33,370","14,957","29,367","3,732","8,248",3,192,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,25,잠실나루,7,0,"2,696","1,684","9,733","9,403","30,628","19,935","35,892","32,435","23,335","21,398","18,015","14,581","18,116","13,865","17,900","15,994","16,764","15,888","17,612","15,097","18,941","14,148","22,652","15,145","27,544","20,199","25,013","34,440","11,928","24,908","8,856","13,934","6,712","13,378","4,386","12,124","1,186","3,673",3,17,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,26,잠실(송파구청),115,31,"9,601","3,926","39,179","34,017","94,913","58,968","128,005","127,170","94,434","105,002","62,117","73,135","62,380","75,784","69,535","76,272","72,565","81,816","74,008","79,965","81,928","82,677","97,611","94,383","131,826","121,434","161,633","177,981","104,738","116,568","109,713","69,950","88,119","64,727","49,106","53,391","7,825","17,073",5,56,0,0,0,1,0,0,2021-09-03 10:03
Aug-21,2호선,27,잠실새내,17,1,"3,736",783,"13,929","8,421","42,624","12,987","54,558","24,850","34,568","27,137","23,692","21,043","23,323","21,301","25,275","24,123","26,368","25,946","23,832","26,764","26,427","29,604","27,730","32,517","29,516","43,628","34,786","66,666","24,079","44,676","21,910","24,206","21,957","20,714","16,532","18,944","3,029","5,993",0,203,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,28,종합운동장,4,0,"1,480",807,"4,776","5,745","13,282","9,553","18,039","15,658","12,957","9,387","8,104","6,623","7,931","5,916","8,326","6,879","7,912","7,079","7,187","7,197","8,180","8,298","10,341","9,039","11,069","12,565","13,058","20,230","6,485","13,806","5,135","8,116","5,044","8,156","3,870","7,384",697,"2,266",5,151,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,29,삼성(무역센터),159,5,"3,913","4,588","6,329","36,821","12,936","106,997","16,442","252,453","17,475","172,539","19,307","74,147","27,522","57,140","32,738","52,080","41,447","57,271","52,942","48,610","65,435","42,076","82,322","38,031","152,613","37,560","230,299","39,720","117,148","22,957","91,086","12,471","69,921","10,586","31,898","7,613","4,348","2,552",0,"1,036",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,30,선릉,31,1,"3,035","5,979","8,842","36,776","17,142","95,870","25,458","230,691","23,985","178,766","28,538","77,570","37,028","53,837","43,792","49,640","49,725","52,406","60,108","44,722","74,524","39,002","98,799","34,893","153,833","38,184","245,318","41,072","116,743","25,164","69,492","14,791","67,774","13,723","50,072","11,318","6,987","4,100",2,48,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,31,역삼,18,3,"2,850","7,114","7,221","34,348","12,613","113,759","20,328","273,619","18,956","226,437","19,320","91,488","26,751","54,551","31,751","47,675","37,986","50,360","46,862","42,000","60,953","38,112","75,968","33,842","162,182","34,564","239,209","38,812","120,972","24,690","66,771","16,029","60,382","13,097","35,770","10,301","6,676","4,088",0,6,1,1,1,1,0,0,2021-09-03 10:03
Aug-21,2호선,32,강남,64,4,"4,993","10,411","14,177","45,059","31,783","129,595","50,239","269,877","40,611","274,355","44,108","129,744","59,573","99,120","75,942","96,644","88,926","115,153","97,964","94,620","120,268","86,770","135,621","83,690","214,990","96,689","302,398","125,891","178,242","68,747","138,452","34,635","157,847","27,783","105,997","21,970","12,509","8,377",5,15,2,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,33,교대(법원.검찰청),29,0,"2,143","6,589","11,006","22,451","20,056","50,258","26,967","134,527","23,043","121,163","22,462","58,532","28,180","46,701","31,279","43,571","36,490","47,353","42,865","42,682","47,405","38,783","52,627","37,144","84,189","41,115","127,229","52,515","57,186","31,873","41,438","17,586","44,108","15,541","31,053","13,851","4,744","4,555",0,34,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,34,서초,22,0,"1,143","3,964","6,978","17,513","12,412","41,453","19,868","103,900","20,048","69,284","15,987","28,110","18,921","20,042","19,508","18,039","22,126","21,027","25,581","17,499","29,795","16,245","34,104","15,859","60,003","16,953","86,612","18,730","34,936","12,504","21,932","8,129","21,462","7,761","13,820","6,770","2,670","1,967",0,6,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,35,방배,6,0,"2,257","2,612","7,865","11,078","18,619","23,728","25,066","59,218","20,082","38,979","14,744","18,001","14,980","14,990","17,070","15,674","17,697","17,860","17,789","16,595","19,517","17,093","23,665","19,073","34,451","24,272","54,434","32,381","22,577","22,059","15,379","13,878","15,569","13,565","10,948","11,901","2,121","3,587",0,5,0,0,0,0,0,0,2021-09-03 10:03
